driver,team,home_country,points
Max Verstappen,Red Bull,Netherlands,0
Lewis Hamilton,Mercedes,United Kingdom,0
George Russell,Mercedes,United Kingdom,0
Sergio Perez,Red Bull,Mexico,0
Lando Norris,McLaren,United Kingdom,0
Charles Leclerc,Ferrari,Monaco,0
Carlos Sainz,Ferrari,Spain,0
Daniel Ricciardo,McLaren,Australia,0
Pierre Gasly,AlphaTauri,France,0
Fernando Alonso,Alpine,Spain,0
Esteban Ocon,Alpine,France,0
Sebastian Vettel,Aston Martin,Germany,0
Lance Stroll,Aston Martin,Canada,0
Yuki Tsunoda,AlphaTauri,Japan,0
Alexander Albon,Williams,Thailand,0
Nicholas Latifi,Williams,Canada,0
Valtteri Bottas,Alfa Romeo,Finland,0
Zhou Guanyu,Alfa Romeo,China,0
Mick Schumacher,Haas,Germany,0
Kevin Magnussen,Haas,Denmark,0